,dyn,ip,REG_RDI,REG_RSI,REG_RBP,REG_RSP,REG_RBX,REG_RDX,REG_RCX,REG_RAX,REG_SEG_CS,REG_SEG_SS,REG_SEG_DS,REG_SEG_ES,REG_SEG_FS,REG_SEG_GS,REG_RFLAGS,REG_RIP,memread_addr_1,read_size_1,mem_val_1,displacement_1,base_reg_1,index_reg_1,scale_1,memread_addr_2,read_size_2,mem_val_2,displacement_2,base_reg_2,index_reg_2,scale_2,memwrite_addr,read_size,mem_val,displacement,base_reg,index_reg,scale,Unnamed: 39,num,dyn,ip,reg,bit,left,right,result
22,22,4196327,140724770324038,6,140724770315088,140724770315008,0,0,1,1,51,43,0,0,0,0,514,4196327,140724770315060,4,6,4294967268,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,172,4196436,3,-2,170,172,1
23,23,4196330,140724770324038,6,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,514,4196330,140724770315060,4,6,4294967268,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,184,4196345,3,-2,182,184,1
24,24,4196333,140724770324038,6,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,514,4196333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,186,4196353,3,-2,185,186,4
25,25,4196335,140724770324038,6,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,659,4196335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,188,4196359,3,-2,188,188,1
26,26,4196339,140724770323969,6,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,659,4196339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,201,4196401,3,-2,199,201,1
27,27,4196341,140724770323969,6,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,659,4196341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,211,4196436,3,-2,209,211,1
28,28,4196345,140724770323969,6,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,659,4196345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,223,4196345,3,-2,221,223,1
29,29,4196349,140724770323969,6,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,659,4196349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,29,225,4196353,3,-2,224,225,4
30,30,4196353,140724770323969,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,659,4196353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315047,1,0,4294967255,5,0,1,,30,227,4196359,3,-2,227,227,1
31,31,4196357,140724770323969,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,659,4196357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31,240,4196401,3,-2,238,240,1
32,32,4196359,1,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,659,4196359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315000,8,4196304,0,6,0,1,,32,250,4196436,3,-2,248,250,1
33,33,4196364,1,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,582,4196364,140724770315047,1,1,4294967255,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,33,262,4196345,3,-2,260,262,1
34,34,4196368,1,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,582,4196368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,34,264,4196353,3,-2,263,264,4
35,35,4196372,1,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,514,4196372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35,266,4196359,3,-2,266,266,1
36,36,4196376,1,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,514,4196376,140724770315064,4,1,4294967272,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,36,274,4196463,3,-2,272,274,2
