dyn,ip,REG_RDI,REG_RSI,REG_RBP,REG_RSP,REG_RBX,REG_RDX,REG_RCX,REG_RAX,REG_SEG_CS,REG_SEG_SS,REG_SEG_DS,REG_SEG_ES,REG_SEG_FS,REG_SEG_GS,REG_RFLAGS,REG_RIP,memread_addr_1,read_size_1,mem_val_1,displacement_1,base_reg_1,index_reg_1,scale_1,memread_addr_2,read_size_2,mem_val_2,displacement_2,base_reg_2,index_reg_2,scale_2,memwrite_addr,read_size,mem_val,displacement,base_reg,index_reg,scale,
27,4196341,140724770323969,6,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,659,4196341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,4196345,140724770323969,6,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,659,4196345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,4196349,140724770323969,6,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,659,4196349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,4196353,140724770323969,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,659,4196353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315047,1,0,4294967255,5,0,1,
31,4196357,140724770323969,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,659,4196357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,4196359,1,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,659,4196359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140724770315000,8,4196304,0,6,0,1,
33,4196364,1,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,582,4196364,140724770315047,1,1,4294967255,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,4196368,1,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,582,4196368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,4196372,1,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,514,4196372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,4196376,1,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,514,4196376,140724770315064,4,1,4294967272,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,4196379,1,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,514,4196379,140724770315064,4,1,4294967272,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,4196382,1,1,140724770315088,140724770315008,0,6,1,1,51,43,0,0,0,0,514,4196382,140724770315068,4,1,4294967276,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,4196385,1,1,140724770315088,140724770315008,0,1,1,1,51,43,0,0,0,0,514,4196385,140724770315068,4,1,4294967276,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,4196388,1,1,140724770315088,140724770315008,0,1,1,1,51,43,0,0,0,0,514,4196388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,4196391,1,1,140724770315088,140724770315008,0,1,1,1,51,43,0,0,0,0,514,4196391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
