num dyn ip reg bit left right result
167 174 4196444 10 -2 174 174 4
168 180 4196333 10 -2 177 180 3
169 187 4196357 10 -2 185 187 1
170 196 4196388 10 -2 193 196 1
171 198 4196394 10 -2 197 198 1
172 200 4196398 10 -2 199 200 4
173 203 4196409 10 -2 203 203 4
174 206 4196418 10 -2 205 206 1
175 208 4196429 10 -2 207 208 1
176 210 4196433 10 -2 209 210 4
177 213 4196444 10 -2 213 213 4
178 219 4196333 10 -2 216 219 3
179 226 4196357 10 -2 224 226 1
180 235 4196388 10 -2 232 235 1
181 237 4196394 10 -2 236 237 1
182 239 4196398 10 -2 238 239 4
183 242 4196409 10 -2 242 242 4
184 245 4196418 10 -2 244 245 1
185 247 4196429 10 -2 246 247 1
186 249 4196433 10 -2 248 249 4
187 252 4196444 10 -2 252 252 4
188 258 4196333 10 -2 255 258 1
189 265 4196357 10 -2 263 265 1
190 275 4196467 10 -2 273 275 1
191 276 4196469 10 -2 276 276 4
192 283 4196496 10 -2 281 283 3
193 29 4196349 11 -2 28 29 1
194 34 4196368 11 -2 34 34 4
195 68 4196349 11 -2 67 68 1
196 73 4196368 11 -2 73 73 4
197 107 4196349 11 -2 106 107 1
198 112 4196368 11 -2 112 112 4
199 146 4196349 11 -2 145 146 1
200 151 4196368 11 -2 151 151 4
201 185 4196349 11 -2 184 185 1
202 190 4196368 11 -2 190 190 4
203 224 4196349 11 -2 223 224 1
204 229 4196368 11 -2 229 229 4
205 263 4196349 11 -2 262 263 1
206 268 4196368 11 -2 268 268 4
207 25 4196335 25 -2 25 25 2
208 27 4196341 25 -2 27 27 2
209 35 4196372 25 -2 35 35 2
210 64 4196335 25 -2 64 64 2
211 66 4196341 25 -2 66 66 2
212 74 4196372 25 -2 74 74 2
213 103 4196335 25 -2 103 103 2
214 105 4196341 25 -2 105 105 2
215 113 4196372 25 -2 113 113 2
216 142 4196335 25 -2 142 142 2
217 144 4196341 25 -2 144 144 2
218 152 4196372 25 -2 152 152 2
219 181 4196335 25 -2 181 181 2
220 183 4196341 25 -2 183 183 2
221 191 4196372 25 -2 191 191 2
222 220 4196335 25 -2 220 220 2
223 222 4196341 25 -2 222 222 2
224 230 4196372 25 -2 230 230 2
225 259 4196335 25 -2 259 259 2
226 261 4196341 25 -2 261 261 2
227 269 4196372 25 -2 269 269 2
